,job,education,housing,loan,y

18918,yes,yes,no,no,0

18919,yes,yes,no,no,0

18920,yes,yes,yes,no,0

18921,yes,no,yes,no,0

18922,yes,no,no,no,0

18923,no,yes,yes,no,0

18924,yes,yes,yes,no,0

18925,yes,no,no,no,0

18926,yes,no,yes,no,0

18927,no,no,no,no,0

18928,yes,yes,yes,no,0

18929,yes,yes,no,no,0

18930,yes,yes,yes,no,0

18931,yes,no,no,no,0

18932,yes,no,yes,no,0

18933,no,yes,yes,no,0

18934,yes,no,no,yes,0

18935,yes,no,yes,no,0

18936,yes,no,no,yes,0

18937,yes,no,yes,yes,0

18938,yes,no,yes,no,0

18939,yes,no,no,no,0

18940,no,yes,no,no,0

18941,yes,no,yes,no,0

18942,yes,no,yes,yes,0

18943,no,no,no,no,0

18944,yes,no,no,yes,0

18945,no,yes,yes,no,0

18946,yes,no,no,no,0

18947,yes,no,no,no,0

18948,yes,no,yes,no,0

18949,yes,no,yes,no,0

18950,no,yes,yes,no,1

18951,no,no,no,no,0

18952,yes,no,no,yes,0

18953,no,yes,yes,no,0

18954,yes,no,yes,no,0

18955,yes,no,no,no,0

18956,no,no,yes,no,0

18957,yes,yes,yes,no,0

18958,yes,no,no,no,1

18959,yes,yes,yes,yes,0

18960,yes,no,yes,yes,0

18961,yes,no,no,no,0

18962,no,yes,no,no,0

18963,no,yes,no,no,0

18964,yes,no,no,no,0

18965,yes,no,no,no,0

18966,yes,yes,no,no,0

18967,yes,yes,yes,no,0

18968,yes,no,no,yes,0

18969,yes,no,no,no,0

18970,yes,no,yes,no,0

18971,no,no,yes,no,0

18972,yes,no,yes,no,0

18973,yes,yes,yes,no,0

18974,yes,yes,yes,yes,0

18975,yes,no,no,no,0

18976,no,yes,yes,yes,0

18977,no,yes,no,no,0

18978,yes,no,yes,no,0

18979,yes,no,yes,no,0

18980,no,no,yes,no,0

18981,yes,yes,yes,no,0

18982,yes,yes,no,yes,0

18983,yes,yes,no,no,1

18984,yes,no,yes,no,0

18985,yes,yes,yes,no,0

18986,yes,yes,yes,yes,0

18987,yes,no,yes,no,0

18988,yes,yes,no,yes,0

18989,yes,no,yes,no,0

18990,yes,yes,yes,yes,0

18991,yes,no,yes,no,0

18992,yes,no,no,no,0

18993,yes,yes,no,no,0

18994,yes,no,yes,yes,0

18995,yes,yes,yes,no,1

18996,yes,no,yes,yes,0

18997,yes,yes,no,no,0

18998,yes,yes,no,no,0

18999,yes,yes,yes,no,0

19000,no,no,yes,no,0

19001,yes,no,yes,no,1

19002,yes,yes,yes,no,0

19003,no,yes,yes,yes,1

19004,no,no,no,yes,0

19005,yes,no,no,no,0

19006,yes,yes,no,no,0

19007,yes,no,no,no,0

19008,yes,yes,yes,no,0

19009,yes,no,yes,yes,0

19010,yes,no,no,no,0

19011,yes,yes,no,no,0

19012,no,no,yes,yes,0

19013,yes,yes,no,no,0

19014,yes,yes,yes,no,0

19015,yes,no,yes,no,0

19016,yes,no,no,yes,0

19017,yes,no,yes,no,0

19018,yes,no,no,no,0

19019,yes,no,yes,no,0

19020,yes,yes,no,yes,1

19021,yes,no,no,no,0

19022,no,yes,no,no,0

19023,yes,no,yes,no,0

19024,yes,yes,no,no,0

19025,yes,no,yes,no,0

19026,yes,yes,no,no,0

19027,no,no,yes,no,0

19028,no,no,no,no,1

19029,yes,yes,no,no,0

19030,yes,no,no,no,0

19031,yes,no,yes,no,0

19032,yes,yes,yes,yes,0

19033,yes,no,yes,no,0

19034,yes,no,yes,no,0

19035,yes,no,yes,no,0

19036,no,no,no,no,0

19037,yes,yes,no,no,0

19038,yes,no,no,no,0

19039,yes,no,yes,no,0

19040,yes,no,yes,yes,1

19041,yes,no,no,no,0

19042,yes,yes,yes,no,0

19043,yes,yes,no,no,0

19044,yes,yes,yes,no,0

19045,yes,yes,no,no,1

19046,yes,no,yes,no,0

19047,yes,no,yes,no,0

19048,yes,yes,yes,yes,1

19049,yes,yes,no,no,0

19050,yes,no,yes,no,0

19051,yes,yes,yes,no,0

19052,yes,no,yes,yes,0

19053,no,no,yes,no,0

19054,no,no,yes,no,0

19055,yes,yes,no,no,0

19056,yes,yes,yes,no,0

19057,yes,yes,no,no,0

19058,no,yes,yes,no,0

19059,yes,no,yes,no,0

19060,yes,no,no,no,0

19061,yes,no,yes,no,0

19062,yes,no,no,no,0

19063,yes,no,yes,no,0

19064,yes,no,no,no,0

19065,no,yes,no,no,0

19066,yes,no,yes,no,0

19067,yes,no,no,no,0

19068,yes,no,yes,no,0

19069,no,no,no,no,0

19070,yes,no,no,no,0

19071,yes,no,no,no,0

19072,yes,no,yes,no,1

19073,yes,no,yes,no,0

19074,yes,yes,no,no,0

19075,yes,yes,no,no,0

19076,yes,yes,yes,no,0

19077,yes,no,yes,no,0

19078,yes,yes,no,no,0

19079,no,no,no,no,0

19080,no,yes,no,no,0

19081,yes,yes,yes,no,0

19082,no,yes,no,no,0

19083,yes,yes,no,no,0

19084,yes,yes,no,no,0

19085,yes,yes,no,no,0

19086,no,no,no,no,0

19087,no,no,no,no,0

19088,no,no,yes,no,1

19089,yes,no,no,no,0

19090,no,no,no,no,0

19091,no,no,yes,no,1

19092,yes,yes,yes,no,0

19093,yes,no,no,no,0

19094,yes,no,yes,no,1

19095,yes,no,no,no,0

19096,yes,yes,yes,no,0

19097,yes,yes,no,no,0

19098,yes,yes,no,no,0

19099,yes,no,yes,no,0

19100,yes,no,no,yes,0

19101,yes,no,no,no,0

19102,yes,no,no,no,0

19103,yes,no,yes,no,0

19104,yes,yes,yes,no,0

19105,yes,yes,no,yes,0

19106,yes,no,no,no,0

19107,yes,yes,no,no,0

19108,yes,yes,yes,no,0

19109,yes,no,yes,no,0

19110,yes,yes,yes,no,0

19111,yes,yes,no,no,0

19112,yes,no,yes,yes,0

19113,yes,yes,yes,no,0

19114,yes,no,yes,no,0

19115,yes,no,yes,no,0

19116,yes,no,yes,no,0

19117,yes,yes,yes,no,0

19118,yes,no,yes,yes,0

19119,yes,yes,no,no,0

19120,yes,no,no,no,0

19121,yes,yes,yes,no,0

19122,yes,no,yes,no,0

19123,yes,no,yes,no,0

19124,no,no,no,yes,0

19125,yes,no,yes,yes,0

19126,no,no,no,no,1

19127,yes,yes,yes,no,0

19128,yes,no,no,no,1

19129,yes,yes,yes,no,0

19130,yes,yes,no,no,0

19131,yes,no,no,no,1

19132,yes,no,yes,no,1

19133,yes,no,no,no,0

19134,yes,no,yes,no,0

19135,yes,no,no,no,0

19136,yes,no,no,yes,0

19137,yes,yes,yes,no,1

19138,no,no,no,no,0

19139,yes,no,yes,no,1

19140,yes,no,no,no,0

19141,yes,yes,no,no,0

19142,yes,no,yes,no,0

19143,yes,yes,yes,no,0

19144,yes,no,yes,no,0

19145,yes,no,yes,no,0

19146,yes,yes,yes,yes,0

19147,yes,yes,yes,no,0

19148,no,yes,no,no,0

19149,yes,yes,no,no,0

19150,yes,yes,no,no,0

19151,yes,yes,no,no,0

19152,yes,no,no,no,0

19153,no,yes,yes,no,0

19154,yes,yes,yes,no,0

19155,yes,yes,yes,yes,0

19156,yes,no,yes,no,1

19157,yes,yes,no,no,1

19158,yes,yes,no,no,0

19159,yes,yes,yes,yes,0

19160,yes,no,no,no,0

19161,yes,yes,yes,no,0

19162,yes,yes,no,no,0

19163,yes,no,no,no,0

19164,yes,yes,yes,no,1

19165,yes,no,yes,no,0

19166,yes,no,no,yes,0

19167,yes,yes,no,yes,0

19168,yes,yes,yes,no,0

19169,no,no,yes,yes,0

19170,yes,yes,yes,no,0

19171,yes,yes,no,no,0

19172,yes,yes,no,no,0

19173,yes,yes,no,no,0

19174,no,yes,no,no,0

19175,no,no,no,no,0

19176,yes,yes,yes,no,0

19177,yes,no,yes,no,0

19178,yes,no,yes,no,0

19179,yes,no,yes,no,0

19180,yes,no,no,no,0

19181,yes,no,yes,no,0

19182,yes,no,yes,no,0

19183,yes,yes,yes,no,1

19184,yes,yes,no,no,0

19185,yes,no,yes,yes,0

19186,yes,no,yes,no,0

19187,yes,no,yes,no,0

19188,no,yes,yes,yes,0

19189,no,yes,no,no,1

19190,yes,yes,no,no,0

19191,yes,yes,no,no,0

19192,no,yes,no,no,0

19193,yes,yes,no,no,0

19194,yes,yes,no,yes,0

19195,yes,no,yes,yes,0

19196,yes,yes,no,yes,0

19197,yes,no,yes,no,0

19198,no,yes,no,no,0

19199,yes,yes,yes,no,1

19200,yes,no,yes,no,0

19201,yes,yes,no,no,0

19202,yes,no,yes,no,0

19203,yes,yes,yes,no,0

19204,no,no,yes,no,0

19205,yes,yes,yes,no,0

19206,yes,no,no,no,0

19207,yes,yes,yes,no,0

19208,yes,yes,yes,no,0

19209,yes,yes,yes,no,1

19210,yes,no,no,no,0

19211,yes,yes,no,no,0

19212,yes,yes,no,yes,1

19213,yes,no,yes,no,0

19214,no,yes,yes,no,0

19215,yes,no,no,no,0

19216,no,no,no,no,0

19217,yes,yes,no,no,0

19218,yes,yes,no,no,0

19219,yes,yes,yes,no,0

19220,yes,yes,yes,no,1

19221,no,no,yes,no,0

19222,yes,no,yes,no,0

19223,yes,no,yes,no,0

19224,yes,no,yes,no,0

19225,no,yes,no,no,0

19226,yes,yes,no,no,0

19227,yes,no,yes,no,0

19228,yes,no,yes,no,0

19229,yes,no,no,yes,0

19230,yes,no,yes,yes,0

19231,yes,yes,yes,no,0

19232,yes,yes,no,no,0

19233,no,no,no,no,0

19234,yes,yes,no,no,0

19235,yes,no,no,no,0

19236,yes,no,no,no,0

19237,yes,no,yes,no,0

19238,yes,no,yes,no,0

19239,yes,no,no,no,0

19240,yes,no,yes,no,0

19241,yes,yes,yes,no,0

19242,yes,no,no,no,0

19243,yes,no,no,no,0

19244,yes,yes,yes,no,0

19245,no,yes,yes,no,0

19246,yes,yes,no,no,0

19247,yes,no,yes,no,0

19248,yes,no,yes,no,0

19249,no,no,yes,no,0

19250,yes,no,no,yes,0

19251,yes,no,no,no,0

19252,yes,no,yes,no,1

19253,yes,yes,no,no,0

19254,yes,no,no,no,1

19255,yes,no,no,no,0

19256,yes,no,yes,yes,0

19257,no,yes,no,no,0

19258,yes,yes,yes,no,0

19259,yes,yes,no,no,0

19260,yes,no,no,no,1

19261,yes,yes,yes,no,1

19262,yes,no,yes,no,0

19263,yes,no,no,no,0

19264,yes,yes,yes,yes,0

19265,no,yes,no,no,0

19266,yes,yes,yes,no,0

19267,yes,no,no,no,0

19268,yes,no,no,no,0

19269,no,no,no,no,0

19270,no,yes,no,no,0

19271,yes,yes,yes,no,0

19272,yes,no,no,no,0

19273,yes,yes,yes,no,0

19274,yes,yes,yes,no,0

19275,yes,yes,no,no,0

19276,yes,no,yes,no,0

19277,yes,yes,no,no,1

19278,yes,no,no,no,1

19279,yes,yes,yes,no,0

19280,yes,no,yes,no,1

19281,yes,yes,no,no,1

19282,yes,no,no,no,0

19283,yes,yes,yes,no,0

19284,no,no,no,no,0

19285,no,no,no,no,0

19286,yes,no,yes,no,0

19287,no,no,no,no,1

19288,no,yes,yes,no,0

19289,yes,no,yes,no,0

19290,yes,no,yes,yes,0

19291,no,no,yes,no,0

19292,yes,no,yes,no,0

19293,yes,no,yes,no,0

19294,yes,yes,no,no,0

19295,yes,no,no,no,0

19296,yes,yes,no,yes,0

19297,yes,yes,no,no,0

19298,no,yes,yes,no,0

19299,yes,yes,yes,no,1

19300,yes,no,yes,no,0

19301,yes,no,yes,no,1

19302,yes,no,no,no,0

19303,yes,no,yes,no,0

19304,yes,no,yes,no,0

19305,yes,no,yes,no,0

19306,yes,yes,no,no,0

19307,yes,no,no,no,0

19308,yes,no,yes,no,0

19309,yes,no,no,no,0

19310,yes,yes,no,yes,0

19311,yes,no,no,no,1

19312,yes,yes,yes,no,0

19313,yes,yes,no,no,0

19314,yes,no,yes,no,0

19315,no,yes,yes,no,0

19316,no,yes,yes,no,1

19317,yes,yes,yes,no,0

19318,yes,no,no,yes,0

19319,yes,no,yes,no,0

19320,no,yes,no,no,0

19321,yes,no,yes,no,0

19322,yes,no,yes,no,0

19323,no,no,yes,no,0

19324,yes,no,no,yes,0

19325,yes,no,yes,yes,0

19326,yes,yes,yes,no,0

19327,yes,no,no,no,0

19328,yes,no,yes,no,0

19329,no,yes,no,no,0

19330,yes,no,no,no,0

19331,yes,no,yes,no,0

19332,yes,yes,yes,no,0

19333,yes,yes,no,no,1

19334,yes,no,no,no,0

19335,yes,no,yes,no,0

19336,no,no,no,yes,0

19337,yes,yes,yes,no,0

19338,yes,no,yes,no,0

19339,yes,yes,no,no,0

19340,yes,yes,yes,no,0

19341,yes,no,yes,yes,0

19342,no,no,no,no,0

19343,no,yes,no,no,1

19344,yes,yes,no,no,0

19345,yes,yes,yes,no,0

19346,no,no,yes,no,0

19347,yes,yes,yes,no,0

19348,yes,no,no,no,1

19349,yes,yes,yes,yes,0

19350,yes,no,no,no,0

19351,yes,no,yes,no,0

19352,yes,no,no,yes,0

19353,yes,no,yes,no,0

19354,yes,no,yes,no,0

19355,yes,no,yes,no,0

19356,yes,yes,yes,yes,0

19357,yes,no,no,no,0

19358,yes,yes,yes,no,0

19359,no,yes,yes,no,0

19360,yes,no,yes,no,0

19361,yes,no,yes,no,0

19362,yes,yes,yes,no,0

19363,yes,no,no,yes,0

19364,yes,yes,no,no,0

19365,yes,no,yes,no,0

19366,yes,no,yes,yes,0

19367,yes,no,no,no,0

19368,yes,no,no,no,0

19369,yes,yes,no,no,0

19370,yes,yes,yes,no,0

19371,yes,no,yes,no,0

19372,yes,yes,no,no,0

19373,yes,no,yes,no,0

19374,yes,no,no,no,1

19375,yes,no,yes,no,1

19376,yes,yes,yes,no,1

19377,yes,yes,yes,no,0

19378,yes,yes,no,no,0

19379,no,no,yes,no,0

19380,yes,yes,yes,no,0

19381,yes,no,no,no,0

19382,yes,yes,no,no,0

19383,yes,no,no,no,0

19384,no,no,no,no,0

19385,yes,yes,no,no,0

19386,yes,yes,no,no,0

19387,yes,no,yes,yes,0

19388,yes,yes,yes,no,1

19389,yes,no,yes,no,0

19390,no,no,no,yes,0

19391,no,no,yes,no,0

19392,yes,no,no,no,0

19393,yes,no,no,yes,0

19394,yes,yes,no,no,0

19395,yes,yes,yes,no,0

19396,yes,no,no,no,1

19397,yes,yes,yes,no,1

19398,no,no,no,no,0

19399,yes,no,yes,yes,0

19400,yes,no,yes,no,0

19401,yes,yes,yes,yes,0

19402,yes,no,no,no,0

19403,yes,yes,no,no,0

19404,yes,no,no,no,0

19405,yes,no,yes,no,0

19406,yes,no,no,no,0

19407,yes,yes,no,no,0

19408,yes,no,yes,no,0

19409,yes,yes,yes,no,0

19410,no,no,no,no,0

19411,yes,no,no,no,0

19412,yes,yes,no,no,1

19413,no,no,yes,no,0

19414,no,yes,no,no,0

19415,no,yes,yes,no,1

19416,yes,no,yes,no,0

19417,no,no,no,no,0

19418,yes,yes,yes,no,0

19419,yes,no,yes,no,0

19420,yes,no,no,no,0

19421,yes,yes,no,no,0

19422,yes,yes,yes,no,0

19423,yes,yes,no,no,0

19424,yes,yes,no,no,0

19425,yes,no,no,no,0

19426,no,no,yes,yes,0

19427,yes,yes,yes,no,0

19428,yes,yes,yes,yes,0

19429,no,no,yes,no,0

19430,yes,no,yes,no,0

19431,yes,yes,no,no,0

19432,yes,yes,yes,no,0

19433,yes,no,yes,yes,0

19434,yes,yes,yes,no,0

19435,no,no,no,yes,0

19436,yes,no,no,no,0

19437,no,no,yes,no,0

19438,yes,yes,no,no,0

19439,yes,no,yes,no,0

19440,yes,yes,no,yes,0

19441,yes,yes,yes,no,1

19442,yes,yes,no,no,0

19443,yes,yes,yes,no,0

19444,no,yes,yes,no,0

19445,no,no,no,no,0

19446,yes,yes,yes,no,0

19447,yes,no,yes,no,0

19448,yes,yes,yes,yes,0

19449,no,no,no,no,0

19450,yes,no,no,no,0

19451,yes,yes,yes,no,0

19452,yes,no,yes,no,0

19453,yes,yes,yes,yes,1

19454,yes,no,yes,no,0

19455,no,no,yes,no,0

19456,yes,yes,no,no,1

19457,yes,yes,no,no,0

19458,yes,yes,no,no,0

19459,yes,no,no,no,0

19460,no,yes,yes,yes,0

19461,yes,no,yes,yes,0

19462,yes,yes,yes,no,0

19463,yes,yes,yes,no,1

19464,yes,no,yes,no,0

19465,yes,yes,no,yes,0

19466,yes,yes,no,no,0

19467,no,no,yes,yes,0

19468,yes,no,no,no,0

19469,yes,yes,yes,no,0

19470,no,yes,no,no,0

19471,yes,yes,no,no,0

19472,yes,no,no,no,0

19473,no,yes,no,no,1

19474,yes,no,no,yes,0

19475,yes,no,yes,no,0

19476,yes,yes,yes,no,1

19477,yes,no,yes,no,0

19478,yes,no,no,yes,1

19479,yes,no,no,yes,1

19480,yes,yes,yes,no,0

19481,yes,yes,no,no,0

19482,no,no,yes,no,0

19483,no,no,yes,no,0

19484,yes,no,no,no,0

19485,yes,no,yes,no,0

19486,yes,no,yes,no,0

19487,yes,no,yes,no,0

19488,yes,yes,no,no,1

19489,yes,yes,no,no,0

19490,yes,no,yes,no,0

19491,yes,no,yes,yes,0

19492,no,no,yes,no,0

19493,yes,no,yes,no,0

19494,yes,no,no,no,0

19495,yes,no,no,no,0

19496,yes,yes,yes,no,1

19497,no,no,no,no,0

19498,no,no,yes,no,1

19499,yes,no,yes,no,0

19500,yes,no,no,no,0

19501,yes,no,no,no,0

19502,yes,yes,no,no,0

19503,yes,no,yes,no,0

19504,yes,yes,no,no,0

19505,no,no,no,no,0

19506,yes,yes,no,no,0

19507,yes,yes,yes,no,0

19508,yes,no,no,no,1

19509,yes,yes,no,no,0

19510,yes,no,yes,yes,0

19511,yes,no,no,no,0

19512,yes,yes,no,yes,0

19513,yes,no,no,no,0

19514,yes,yes,no,no,0

19515,yes,yes,yes,no,0

19516,yes,no,yes,no,0

19517,yes,no,yes,no,0

19518,yes,yes,no,no,0

19519,yes,no,no,no,0

19520,yes,yes,yes,no,0

19521,yes,yes,no,yes,0

19522,yes,yes,yes,no,0

19523,no,no,yes,no,1

19524,no,yes,no,no,0

19525,yes,no,no,yes,0

19526,no,no,no,no,1

19527,yes,yes,no,no,0

19528,yes,no,yes,no,0

19529,yes,no,yes,no,0

19530,yes,yes,no,no,1

19531,yes,no,yes,no,1

19532,yes,yes,no,no,1

19533,yes,no,no,no,0

19534,yes,no,yes,no,0

19535,yes,no,no,no,0

19536,yes,yes,no,no,0

19537,yes,no,yes,no,0

19538,yes,no,yes,no,0

19539,no,no,no,yes,0

19540,yes,yes,no,yes,0

19541,yes,no,no,no,1

19542,yes,yes,no,no,0

19543,yes,yes,no,no,0

19544,yes,yes,no,yes,1

19545,yes,yes,yes,no,0

19546,yes,yes,yes,yes,0

19547,yes,no,no,no,0

19548,yes,yes,yes,no,0

19549,yes,yes,yes,yes,0

19550,yes,yes,no,no,0

19551,no,yes,no,no,1

19552,yes,yes,no,no,0

19553,yes,yes,no,no,0

19554,yes,yes,no,no,0

19555,yes,yes,yes,no,0

19556,yes,yes,yes,no,0

19557,yes,yes,no,no,0

19558,yes,no,yes,no,0

19559,yes,yes,no,yes,0

19560,yes,yes,no,no,0

19561,yes,yes,no,no,1

19562,yes,yes,no,no,0

19563,yes,no,yes,yes,0

19564,yes,no,yes,no,0

19565,yes,no,yes,no,0

19566,no,yes,no,no,0

19567,no,yes,yes,yes,0

19568,yes,no,yes,no,0

19569,yes,yes,no,no,1

19570,yes,no,no,no,0

19571,yes,yes,no,yes,0

19572,yes,yes,no,no,1

19573,yes,no,no,yes,0

19574,yes,no,yes,no,0

19575,yes,yes,no,no,1

19576,yes,no,yes,no,0

19577,yes,yes,yes,no,0

19578,yes,yes,yes,yes,0

19579,yes,yes,yes,no,1

19580,yes,yes,yes,yes,0

19581,yes,yes,yes,yes,0

19582,no,no,no,no,0

19583,no,yes,no,no,0

19584,yes,no,no,no,0

19585,no,yes,no,no,0

19586,yes,no,no,no,0

19587,yes,no,yes,no,0

19588,yes,yes,yes,yes,0

19589,yes,no,yes,no,0

19590,yes,no,no,no,0

19591,no,no,no,no,1

19592,yes,yes,yes,no,0

19593,yes,no,no,yes,0

19594,no,yes,no,no,0

19595,yes,yes,no,no,0

19596,yes,yes,yes,no,1

19597,yes,no,yes,yes,0

19598,no,yes,yes,no,0

19599,yes,no,yes,no,0

19600,yes,no,no,no,0

19601,yes,no,yes,no,0

19602,yes,yes,yes,no,0

19603,yes,no,no,no,0

19604,yes,no,no,no,0

19605,no,yes,no,no,0

19606,yes,no,yes,yes,0

19607,yes,yes,yes,no,1

19608,yes,yes,no,no,0

19609,no,yes,yes,no,1

19610,no,no,yes,no,0

19611,yes,no,yes,no,0

19612,yes,yes,no,no,0

19613,yes,no,yes,no,0

19614,no,no,no,no,0

19615,yes,no,yes,yes,0

19616,no,no,yes,no,0

19617,yes,no,yes,no,0

19618,yes,no,yes,no,0

19619,no,no,yes,no,0

19620,no,yes,yes,no,0

19621,yes,no,no,yes,0

19622,yes,no,yes,no,0

19623,yes,no,no,no,1

19624,no,no,no,no,0

19625,no,no,yes,no,1

19626,yes,no,yes,no,0

19627,yes,no,yes,no,1

19628,yes,no,no,no,0

19629,yes,yes,no,no,0

19630,yes,yes,yes,no,0

19631,yes,yes,yes,no,0

19632,yes,no,yes,no,0

19633,yes,no,yes,no,0

19634,no,yes,yes,no,0

19635,yes,no,yes,no,0

19636,yes,no,no,no,0

19637,yes,no,yes,yes,0

19638,yes,yes,no,no,0

19639,yes,no,yes,no,1

19640,yes,no,yes,no,0

19641,yes,yes,no,no,0

19642,yes,yes,no,no,0

19643,yes,no,no,yes,0

19644,yes,no,no,no,0

19645,no,no,yes,no,0

19646,yes,no,no,no,0

19647,yes,no,no,no,0

19648,no,no,yes,no,0

19649,yes,no,yes,no,0

19650,no,no,no,no,0

19651,yes,no,yes,no,0

19652,yes,no,no,yes,1

19653,yes,yes,no,no,0

19654,yes,yes,yes,no,0

19655,yes,no,no,no,0

19656,yes,no,yes,no,0

19657,yes,yes,no,no,1

19658,yes,yes,no,no,0

19659,yes,yes,no,no,0

19660,yes,yes,yes,no,0

19661,no,yes,no,no,0

19662,no,yes,yes,no,0

19663,yes,yes,no,no,0

19664,yes,no,no,no,1

19665,yes,yes,yes,no,0

19666,yes,yes,yes,yes,0

19667,yes,yes,no,no,0

19668,yes,yes,no,yes,0

19669,yes,no,yes,no,0

19670,no,yes,no,no,0

19671,no,no,yes,no,0

19672,no,yes,no,no,1

19673,yes,yes,no,no,0

19674,yes,yes,yes,no,0

19675,yes,yes,yes,no,0

19676,yes,yes,no,no,1

19677,yes,no,yes,yes,0

19678,yes,yes,no,no,0

19679,no,no,yes,no,0

19680,no,yes,no,no,0

19681,yes,no,yes,no,0

19682,yes,no,yes,yes,0

19683,yes,yes,yes,no,0

19684,yes,no,no,no,1

19685,yes,no,no,yes,0

19686,yes,no,yes,no,0

19687,yes,no,yes,no,0

19688,yes,yes,no,no,0

19689,yes,no,yes,no,0

19690,yes,no,no,no,0

19691,yes,yes,no,no,0

19692,yes,no,no,no,0

19693,yes,yes,yes,no,0

19694,no,yes,yes,no,0

19695,yes,yes,no,no,0

19696,no,no,yes,no,0

19697,yes,yes,no,no,0

19698,yes,yes,yes,yes,0

19699,no,no,no,no,0

19700,no,no,no,no,1

19701,yes,no,yes,no,0

19702,yes,no,no,no,0

19703,yes,yes,no,no,0

19704,yes,yes,yes,yes,0

19705,no,yes,yes,no,0

19706,yes,yes,yes,no,0

19707,yes,yes,yes,no,0

19708,yes,yes,yes,yes,0

19709,yes,yes,no,no,0

19710,yes,yes,no,no,0

19711,yes,yes,no,no,1

19712,yes,no,no,no,0

19713,no,no,no,no,0

19714,yes,yes,yes,yes,0

19715,yes,no,no,yes,0

19716,yes,yes,yes,no,0

19717,yes,no,yes,no,0

19718,yes,no,no,no,1

19719,yes,no,yes,no,0

19720,yes,no,no,no,0

19721,yes,yes,yes,no,0

19722,yes,yes,yes,no,0

19723,yes,no,yes,no,0

19724,yes,no,yes,no,0

19725,yes,yes,yes,no,0

19726,yes,no,yes,yes,0

19727,yes,no,no,no,1

19728,yes,yes,no,no,0

19729,yes,yes,no,no,1

19730,yes,no,yes,no,0

19731,yes,no,no,no,0

19732,yes,yes,yes,yes,1

19733,yes,no,no,yes,0

19734,yes,no,no,no,0

19735,no,yes,yes,no,0

19736,yes,yes,no,no,0

19737,yes,yes,yes,yes,0

19738,yes,no,yes,no,0

19739,yes,no,no,no,0

19740,no,yes,yes,no,0

19741,no,no,no,no,0

19742,yes,yes,yes,no,0

19743,no,yes,no,no,1

19744,yes,no,yes,no,0

19745,yes,yes,no,no,0

19746,yes,yes,yes,no,0

19747,yes,yes,no,no,0

19748,yes,no,yes,no,1

19749,yes,no,no,no,0

19750,yes,no,yes,no,0

19751,yes,no,no,no,0

19752,yes,yes,yes,no,0

19753,yes,no,yes,no,0

19754,no,yes,yes,no,0

19755,yes,no,no,no,0

19756,yes,yes,yes,no,0

19757,yes,no,no,no,0

19758,yes,yes,no,yes,0

19759,yes,no,yes,no,0

19760,yes,no,yes,no,1

19761,no,no,yes,no,1

19762,yes,no,no,no,1

19763,yes,no,no,no,0

19764,yes,yes,yes,no,0

19765,yes,no,no,no,0

19766,yes,yes,yes,no,0

19767,yes,yes,yes,no,0

19768,yes,yes,no,yes,0

19769,yes,no,no,no,1

19770,yes,yes,yes,no,0

19771,yes,yes,yes,no,0

19772,yes,yes,yes,no,0

19773,yes,no,yes,no,0

19774,yes,no,yes,no,0

19775,yes,no,yes,no,0

19776,yes,no,yes,no,0

19777,yes,yes,yes,no,1

19778,yes,no,yes,no,1

19779,yes,yes,no,no,0

19780,yes,yes,yes,no,0

19781,yes,no,yes,no,0

19782,yes,yes,yes,no,0

19783,no,yes,yes,no,0

19784,yes,no,no,no,0

19785,no,no,no,no,1

19786,no,yes,yes,no,0

19787,yes,no,yes,no,0

19788,yes,no,no,no,1

19789,yes,no,no,no,0

19790,yes,no,no,no,0

19791,no,yes,yes,no,0

19792,yes,no,yes,no,0

19793,yes,yes,yes,yes,0

